source,target
မနေ့က မုန့်ဝယ်သည်။,မနေ့က မုန့်ဝယ်ခဲ့သည်။
သူလည်း ထမင်းလည်း မစားဘူး။,သူ ထမင်းလည်း မစားဘူး။
စားမည် ပြီးလက်ဆေးမည်။,လက်ဆေးပြီး စားမည်။
မုန့်ဝယ်မည် ပြီးအိမ်ပြန်မည်။,မုန့်ဝယ်ပြီး အိမ်ပြန်မည်။
အရသာမရှိခြင်းဖြင့် မဝယ်ဘူး။,အရသာမရှိခြင်းကြောင့် မဝယ်ဘူး။
သူ မသောက်မည်။,သူ မသောက်ဘူး။
သူမ မချက်မည်။,သူမ မချက်ဘူး။
ဗိုက်နာခြင်းဖြင့် မစားနိုင်ဘူး။,ဗိုက်နာခြင်းကြောင့် မစားနိုင်ဘူး။
စျေးသွားမည် ပြီးအစားဝယ်မည်။,စျေးသွားပြီး အစားဝယ်မည်။
ထမင်းစား ပြင်ဆင်သည်။,ထမင်းစားဖို့ ပြင်ဆင်သည်။
အစာပျက်ခြင်းဖြင့် မစားဘူး။,အစာပျက်ခြင်းကြောင့် မစားဘူး။
မနက်မုန့်စားသည်။,မနက်မှာ မုန့်စားသည်။
သူမ ဆေးမလိမ်းမည်။,သူမ ဆေးမလိမ်းဘူး။
နာတာရှည်ဖြင့် စိတ်ညစ်သည်။,နာတာရှည်ကြောင့် စိတ်ညစ်သည်။
ဖိအားမြင့်ခြင်းဖြင့် အိပ်မရဘူး။,ဖိအားမြင့်ခြင်းကြောင့် အိပ်မရဘူး။
ငါလည်း ဆေးလည်း မသုံးဘူး။,ငါ ဆေးလည်း မသုံးဘူး။
သူ ဆေးမပေးမည်။,သူ ဆေးမပေးဘူး။
ငါ ဆေးမဝယ်မည်။,ငါ ဆေးမဝယ်ဘူး။
သူဆေးရုံကို သွားသည်။,သူဆေးရုံသို့ သွားသည်။
သူမလည်း ဆေးလည်း မသောက်ဘူး။,သူမ ဆေးလည်း မသောက်ဘူး။
မနေ့က ဆေးသောက်သည်။,မနေ့က ဆေးသောက်ခဲ့သည်။
သူဆရာဝန်ကို တွေ့သည်။,သူဆရာဝန်ကို တွေ့မည်။
မနေ့က ဆေးရုံသွားသည်။,မနေ့က ဆေးရုံသွားခဲ့သည်။
ဆေးစစ်မည် ပြီးညအိပ်မည်။,ဆေးစစ်ပြီး ညအိပ်မည်။
ဆေးသောက် ဆုံးဖြတ်သည်။,ဆေးသောက်ဖို့ ဆုံးဖြတ်သည်။
ဆရာဝန်တွေ့မည် ပြီးဆေးသောက်မည်။,ဆရာဝန်တွေ့ပြီး ဆေးသောက်မည်။
ကျွန်မဆေးခန်းကို သွားသည်။,ကျွန်မဆေးခန်းသို့ သွားသည်။
ဆေးလိမ်း ပြင်ဆင်သည်။,ဆေးလိမ်းဖို့ ပြင်ဆင်သည်။
